Area,BHK,Bathroom,Locality,Price
2100,4,4,Safdarjung Enclave,55000000
1800,4,4,Safdarjung Enclave,87500000
1100,2,2,Safdarjung Enclave,16300000
2035,4,4,Safdarjung Enclave,65000000
1100,3,3,Safdarjung Enclave,25000000
1550,3,3,Safdarjung Enclave,38000000
700,2,2,Safdarjung Enclave,15000000
150,2,1,Safdarjung Enclave,2000000
540,1,1,Safdarjung Enclave,3000000
810,2,2,Safdarjung Enclave,8500000
3250,4,4,Safdarjung Enclave,55000000
1600,3,3,Safdarjung Enclave,22500000
4000,4,4,Safdarjung Enclave,72500000
5500,6,7,Safdarjung Enclave,160000000
900,3,3,Safdarjung Enclave,12500000
972,2,2,Safdarjung Enclave,17000000
4150,4,4,Safdarjung Enclave,82500000
2250,4,5,Safdarjung Enclave,55000000
1650,3,3,Safdarjung Enclave,35000000
2610,4,4,Safdarjung Enclave,42500000
600,2,2,Safdarjung Enclave,4700000
1700,4,5,Safdarjung Enclave,52500000
2250,4,4,Safdarjung Enclave,80000000
880,3,2,Safdarjung Enclave,11000000
4200,4,5,Safdarjung Enclave,74000000
1450,3,3,Safdarjung Enclave,37500000
2200,4,4,Safdarjung Enclave,52500000
1620,3,3,Paschim Vihar,26000000
1078,3,2,Paschim Vihar,15500000
1710,3,3,Paschim Vihar,22000000
1150,3,3,Paschim Vihar,21000000
450,2,2,Paschim Vihar,5000000
1818,3,3,Paschim Vihar,22000000
1800,3,2,Paschim Vihar,26500000
780,2,2,Paschim Vihar,8770000
405,1,1,Paschim Vihar,4500000
900,2,3,Paschim Vihar,8500000
807.2925,2,2,Paschim Vihar,8600000
2700,4,3,Paschim Vihar,42500000
1100,3,2,Paschim Vihar,13100000
585,2,2,Paschim Vihar,7000000
2152.78,3,3,Paschim Vihar,30000000
960,2,2,Paschim Vihar,13000000
1800,4,3,Paschim Vihar,23100000
1100,3,2,Paschim Vihar,16000000
900,2,2,Paschim Vihar,12500000
1620,3,3,Paschim Vihar,24500000
378,1,1,Paschim Vihar,3200000
800,3,2,Paschim Vihar,6300000
1350,3,3,Paschim Vihar,15000000
850,3,3,Paschim Vihar,5700000
1580,3,2,Paschim Vihar,21000000
820,2,3,Paschim Vihar,7500000
594,2,1,Paschim Vihar,6500000
14220,3,3,Paschim Vihar,27500000
800,3,2,Paschim Vihar,12000000
1500,3,2,Paschim Vihar,18000000
1600,3,3,Dwarka,15600000
1650,3,3,Dwarka,15500000
1600,3,3,Dwarka,15200000
1900,3,3,Dwarka,25000000
1400,3,2,Dwarka,15000000
1550,3,2,Dwarka,15800000
2000,4,3,Dwarka,31500000
1500,3,3,Dwarka,14000000
1550,3,2,Dwarka,13200000
1600,3,2,Dwarka,15800000
1600,3,3,Dwarka,16200000
1800,3,2,Dwarka,15500000
1470,3,2,Dwarka,14500000
1500,3,2,Dwarka,14900000
1750,3,3,Dwarka,17200000
1650,3,3,Dwarka,18000000
1850,3,2,Dwarka,15500000
1480,3,2,Dwarka,15800000
1214,2,2,Dwarka,12600000
1380,3,2,Dwarka,15000000
1600,4,2,Dwarka,19500000
1585,3,3,Dwarka,16600000
1700,3,3,Dwarka,17200000
1200,2,2,Dwarka,13000000
1800,4,3,Dwarka,16500000
1000,2,2,Dwarka,10700000
1500,3,2,Dwarka,16200000
1700,3,2,Dwarka,16500000
1750,3,2,Dwarka,14900000
2700,4,3,Dwarka,27500000
3050,5,6,CommonWealth Games Village,62500000
3405,5,5,CommonWealth Games Village,70000000
1500,3,3,CommonWealth Games Village,35500000
2105,3,3,CommonWealth Games Village,42100000
2500,4,5,CommonWealth Games Village,42500000
2090,3,4,CommonWealth Games Village,44000000
2525,4,5,CommonWealth Games Village,43200000
2500,4,4,CommonWealth Games Village,52500000
2100,3,4,CommonWealth Games Village,34300000
2022,3,3,CommonWealth Games Village,38000000
2650,4,5,CommonWealth Games Village,52500000
1850,3,3,CommonWealth Games Village,37500000
2100,3,3,CommonWealth Games Village,37000000
1700,3,4,CommonWealth Games Village,40000000
2105,3,3,CommonWealth Games Village,36200000
1250,2,3,CommonWealth Games Village,29000000
2552,4,5,CommonWealth Games Village,42500000
3112,5,6,CommonWealth Games Village,60000000
